Query_number,doc_number
1,247327
1,164516
1,324242
1,364125
1,221245
1,225127
1,62498
1,127555
1,63873
1,359272
2,487973
2,253545
2,360485
2,446932
2,289317
2,428907
2,446730
2,123673
2,200484
2,397911
3,163575
3,446120
3,412243
3,204652
3,322194
3,341983
3,329157
3,447994
3,63153
3,184480
4,215320
4,114946
4,188739
4,316737
4,99716
4,155080
4,110527
4,43104
4,159262
4,252106
5,336372
5,266494
5,123698
5,189798
5,171495
5,173278
5,112942
5,228997
5,263148
5,228885
6,294577
6,275883
6,80228
6,73557
6,85102
6,418531
6,51271
6,394539
6,342088
6,231866
7,494634
7,137842
7,444818
7,453178
7,40207
7,108290
7,230491
7,82172
7,461656
7,325737
8,86867
8,236500
8,401711
8,109001
8,14705
8,95204
8,297759
8,376945
8,102418
8,334887
9,95059
9,102770
9,382221
9,165911
9,108018
9,370662
9,366086
9,496531
9,298786
9,114911
10,89072
10,67533
10,472683
10,490691
10,288183
10,107176
10,452972
10,330801
10,137500
10,170399
11,305019
11,155218
11,164039
11,189312
11,275918
11,441493
11,386997
11,283677
11,315378
11,140283
12,3976
12,267626
12,459238
12,393641
12,344738
12,359187
12,355270
12,479977
12,2895
12,440907
13,148453
13,79603
13,164486
13,184607
13,408074
13,344194
13,388453
13,26285
13,81648
13,469036
14,463695
14,420475
14,210086
14,273094
14,359631
14,71200
14,212304
14,157975
14,332750
14,401809
15,442250
15,284662
15,184067
15,381470
15,34553
15,204058
15,493347
15,448280
15,141260
15,407175
16,453910
16,485510
16,228341
16,458244
16,275889
16,261181
16,67102
16,8717
16,460649
16,126539
17,473427
17,94406
17,347962
17,286389
17,64838
17,53989
17,68576
17,480307
17,168932
17,251783
18,179059
18,426872
18,13449
18,96953
18,19726
18,350565
18,223887
18,289586
18,300115
18,85266
19,5887
19,342368
19,50831
19,51054
19,252387
19,161741
19,284173
19,266087
19,256367
19,328544
20,446893
20,347649
20,362713
20,441672
20,468119
20,79672
20,217913
20,266142
20,111003
20,401396
21,229100
21,389777
21,250951
21,196889
21,73600
21,369123
21,325730
21,102847
21,45533
21,260855
22,112781
22,229208
22,84169
22,146492
22,254958
22,273410
22,32950
22,438486
22,390567
22,257063
23,332471
23,163112
23,39061
23,295163
23,258905
23,283131
23,58049
23,69888
23,189469
23,402078
24,451729
24,451396
24,96667
24,281834
24,345854
